"date" "num" "numm" "numf" "parf"
"1" "0104" "6103" "5359" "744" "0.121907258725217"
"2" "0107" "6263" "5489" "774" "0.123582947469264"
"3" "0110" "6454" "5655" "799" "0.12379919429811"
"4" "0201" "6574" "5748" "826" "0.12564648615759"
"5" "0204" "6652" "5813" "839" "0.126127480457005"
"6" "0207" "7041" "6177" "864" "0.122709842351939"
"7" "0210" "7598" "6663" "935" "0.123058699657805"
"8" "0301" "8225" "7226" "999" "0.12145896656535"
"9" "0304" "8795" "7724" "1071" "0.121773735076748"
"10" "0307" "9327" "8158" "1169" "0.125335048783103"
"11" "0310" "9857" "8643" "1214" "0.123161205234858"
"12" "0401" "10569" "9262" "1307" "0.123663544327751"
"13" "0404" "10859" "9507" "1352" "0.12450501887835"
"14" "0407" "11533" "10076" "1457" "0.126333131015347"
"15" "0410" "12459" "10878" "1581" "0.126896219600289"
"16" "0501" "12904" "11308" "1596" "0.123682579045257"
"17" "0504" "13315" "11578" "1737" "0.130454374765302"
"18" "0507" "14261" "12491" "1770" "0.124114718462941"
"19" "0510" "14902" "12969" "1933" "0.129714132331231"
"20" "0601" "15406" "13468" "1938" "0.125795144748799"
"21" "0604" "14383" "12542" "1841" "0.127998331363415"
"22" "0607" "15600" "13673" "1927" "0.123525641025641"
"23" "0610" "16501" "14571" "1930" "0.116962608326768"
"24" "0701" "17988" "16002" "1986" "0.110406937958639"
"25" "0704" "19098" "17071" "2027" "0.106136768247984"
"26" "0707" "20829" "18796" "2033" "0.0976043016947525"
"27" "0710" "21088" "18579" "2509" "0.118977617602428"
"28" "0801" "22132" "19650" "2482" "0.112145309958431"
"29" "0804" "18907" "16309" "2598" "0.137409425080658"
"30" "0807" "20043" "17275" "2768" "0.13810307838148"
"31" "0810" "20979" "18044" "2935" "0.139901806568473"
"32" "0901" "21580" "18529" "3051" "0.141380908248378"
"33" "0904" "21860" "18807" "3053" "0.139661482159195"
"34" "0907" "22781" "19631" "3150" "0.138273122338791"
"35" "0909" "22846" "19755" "3091" "0.135297207388602"
"36" "0911" "22179" "19281" "2898" "0.130664141755715"
"37" "1001" "23873" "20648" "3225" "0.135089850458677"
"38" "1003" "27190" "23576" "3614" "0.132916513424053"
"39" "1005" "27712" "24066" "3646" "0.131567551963049"
"40" "1007" "27106" "23546" "3560" "0.131336235519811"
"41" "1009" "27418" "23795" "3623" "0.132139470420891"
"42" "1011" "27862" "24216" "3646" "0.130859234800086"
"43" "1101" "29073" "25394" "3679" "0.126543528359646"
"44" "1103" "30006" "26169" "3837" "0.127874425114977"
"45" "1105" "30256" "26406" "3850" "0.127247488101534"
"46" "1107" "30275" "26325" "3950" "0.13047068538398"
"47" "1109" "30712" "26742" "3970" "0.129265433706694"
"48" "1111" "31098" "27167" "3931" "0.126406842883787"
"49" "1201" "31071" "27177" "3894" "0.125325866563677"
"50" "1203" "31122" "27232" "3890" "0.12499196709723"
"51" "1205" "30982" "27079" "3903" "0.125976373378091"
"52" "1207" "31406" "27492" "3914" "0.124625867668598"
"53" "1208" "30191" "26524" "3667" "0.121460037759597"
"54" "1209" "31246" "27428" "3818" "0.122191640529988"
"55" "1210" "30505" "26735" "3770" "0.123586297328307"
"56" "1211" "31243" "27388" "3855" "0.123387638831098"
"57" "1212" "30522" "26772" "3750" "0.122862197758994"
"58" "1301" "30568" "26904" "3664" "0.119863909971212"
"59" "1302" "30514" "26892" "3622" "0.118699613292259"
"60" "1303" "31302" "27619" "3683" "0.117660213404894"
"61" "1304" "29130" "25657" "3473" "0.119224167524888"
"62" "1305" "31078" "27462" "3616" "0.116352403629577"
"63" "1306" "30519" "27028" "3491" "0.114387758445558"
"64" "1307" "31251" "27688" "3563" "0.114012351604749"
"65" "1308" "31402" "27824" "3578" "0.113941787147315"
"66" "1309" "31179" "27679" "3500" "0.112255043458738"
"67" "1310" "31401" "27936" "3465" "0.110346804241903"
"68" "1311" "31727" "28226" "3501" "0.110347653418224"
"69" "1312" "31733" "28246" "3487" "0.109885608042101"
"70" "1401" "32010" "28511" "3499" "0.10930959075289"
"71" "1402" "32263" "28754" "3509" "0.108762359359018"
"72" "1403" "32179" "28690" "3489" "0.108424749059946"
"73" "1404" "31889" "28443" "3446" "0.108062341246198"
"74" "1405" "31957" "28529" "3428" "0.107269142910786"
"75" "1406" "31717" "28351" "3366" "0.106126052274805"
"76" "1407" "31910" "28540" "3370" "0.105609526794108"
"77" "1408" "31930" "28595" "3335" "0.104447228311932"
"78" "1409" "32363" "28987" "3376" "0.104316657911813"
"79" "1410" "32588" "29241" "3347" "0.10270651773659"
"80" "1411" "32976" "29610" "3366" "0.10207423580786"
"81" "1412" "33304" "29936" "3368" "0.101128993514293"
"82" "1501" "33724" "30359" "3365" "0.0997805716996798"
"83" "1502" "33950" "30588" "3362" "0.0990279823269514"
"84" "1503" "34226" "30862" "3364" "0.0982878513410857"
"85" "1504" "34313" "30987" "3326" "0.0969311922594935"
"86" "1505" "34487" "31158" "3329" "0.0965291269173892"
"87" "1506" "35093" "31738" "3355" "0.0956031117316844"
"88" "1507" "35267" "31928" "3339" "0.0946777440666912"
"89" "1508" "35421" "32092" "3329" "0.0939837949239152"
"90" "1509" "35724" "32403" "3321" "0.0929627141417534"
"91" "1510" "35918" "32607" "3311" "0.0921821927724261"
"92" "1511" "36197" "32885" "3312" "0.0914992955217283"
"93" "1512" "36438" "33134" "3304" "0.0906745705033207"
"94" "1601" "36808" "33485" "3323" "0.0902792871114975"
"95" "1602" "37138" "33800" "3338" "0.0898809844364263"
