date num   numm  numf parf
 104  6103  5359  744 0.12190726
 107  6263  5489  774 0.12358295
 110  6454  5655  799 0.12379919
 201  6574  5748  826 0.12564649
 204  6652  5813  839 0.12612748
 207  7041  6177  864 0.12270984
 210  7598  6663  935 0.12305870
 301  8225  7226  999 0.12145897
 304  8795  7724 1071 0.12177374
 307  9327  8158 1169 0.12533505
 310  9857  8643 1214 0.12316121
 401 10569  9262 1307 0.12366354
 404 10859  9507 1352 0.12450502
 407 11533 10076 1457 0.12633313
 410 12459 10878 1581 0.12689622
 501 12904 11308 1596 0.12368258
 504 13315 11578 1737 0.13045437
 507 14261 12491 1770 0.12411472
 510 14902 12969 1933 0.12971413
 601 15406 13468 1938 0.12579514
 604 14383 12542 1841 0.12799833
 607 15600 13673 1927 0.12352564
 610 16501 14571 1930 0.11696261
 701 17988 16002 1986 0.11040694
 704 19098 17071 2027 0.10613677
 707 20829 18796 2033 0.09760430
 710 21088 18579 2509 0.11897762
 801 22132 19650 2482 0.11214531
 804 18907 16309 2598 0.13740943
 807 20043 17275 2768 0.13810308
 810 20979 18044 2935 0.13990181
 901 21580 18529 3051 0.14138091
 904 21860 18807 3053 0.13966148
 907 22781 19631 3150 0.13827312
 909 22846 19755 3091 0.13529721
 911 22179 19281 2898 0.13066414
1001 23873 20648 3225 0.13508985
1003 27190 23576 3614 0.13291651
1005 27712 24066 3646 0.13156755
1007 27106 23546 3560 0.13133624
1009 27418 23795 3623 0.13213947
1011 27862 24216 3646 0.13085923
1101 29073 25394 3679 0.12654353
1103 30006 26169 3837 0.12787443
1105 30256 26406 3850 0.12724749
1107 30275 26325 3950 0.13047069
1109 30712 26742 3970 0.12926543
1111 31098 27167 3931 0.12640684
1201 31071 27177 3894 0.12532587
1203 31122 27232 3890 0.12499197
1205 30982 27079 3903 0.12597637
1207 31406 27492 3914 0.12462587
1208 30191 26524 3667 0.12146004
1209 31246 27428 3818 0.12219164
1210 30505 26735 3770 0.12358630
1211 31243 27388 3855 0.12338764
1212 30522 26772 3750 0.12286220
1301 30568 26904 3664 0.11986391
1302 30514 26892 3622 0.11869961
1303 31302 27619 3683 0.11766021
1304 29130 25657 3473 0.11922417
1305 31078 27462 3616 0.11635240
1306 30519 27028 3491 0.11438776
1307 31251 27688 3563 0.11401235
1308 31402 27824 3578 0.11394179
1309 31179 27679 3500 0.11225504
1310 31401 27936 3465 0.11034680
1311 31727 28226 3501 0.11034765
1312 31733 28246 3487 0.10988561
1401 32010 28511 3499 0.10930959
1402 32263 28754 3509 0.10876236
1403 32179 28690 3489 0.10842475
1404 31889 28443 3446 0.10806234
1405 31957 28529 3428 0.10726914
1406 31717 28351 3366 0.10612605
1407 31910 28540 3370 0.10560953
1408 31930 28595 3335 0.10444723
1409 32363 28987 3376 0.10431666
1410 32588 29241 3347 0.10270652
1411 32976 29610 3366 0.10207424
1412 33304 29936 3368 0.10112899
1501 33724 30359 3365 0.09978057
1502 33950 30588 3362 0.09902798
1503 34226 30862 3364 0.09828785
1504 34313 30987 3326 0.09693119
1505 34487 31158 3329 0.09652913
1506 35093 31738 3355 0.09560311
1507 35267 31928 3339 0.09467774
1508 35421 32092 3329 0.09398379
1509 35724 32403 3321 0.09296271
1510 35918 32607 3311 0.09218219
1511 36197 32885 3312 0.09149930
1512 36438 33134 3304 0.09067457
1601 36808 33485 3323 0.09027929
1602 37138 33800 3338 0.08988098
