"date" "avgr" "freq 2000-2600" "freq >2600" "ratio >2600"
"1" "01_01" "2202.63005030018" "36880" "98" "0.00265022445778571"
"2" "01_04" "2201.72587375415" "37525" "100" "0.0026578073089701"
"3" "01_07" "2200.35231215369" "38520" "102" "0.00264098182383098"
"4" "01_10" "2198.40836919051" "39638" "101" "0.00254158383452024"
"5" "02_01" "2198.51217429908" "29193" "90" "0.00307345558856675"
"6" "02_04" "2195.93986669243" "41305" "103" "0.00248744204018547"
"7" "02_07" "2194.27887103862" "40856" "101" "0.00246600092780233"
"8" "02_10" "2190.61327107628" "42119" "107" "0.00253398380144934"
"9" "03_01" "2186.49633463657" "44002" "102" "0.00231271539996372"
"10" "03_04" "2183.72180978035" "44326" "107" "0.00240812009092341"
"11" "03_07" "2179.19595787682" "45100" "116" "0.0025654635527247"
"12" "03_10" "2173.41367760794" "46492" "118" "0.00253164556962025"
"13" "04_01" "2169.50982024298" "47094" "120" "0.0025416190113102"
"14" "04_04" "2165.59600824552" "47997" "119" "0.0024731897913376"
"15" "04_07" "2160.55940778216" "49035" "127" "0.00258329604165819"
"16" "04_10" "2153.2551203232" "50791" "131" "0.00257256195750363"
"17" "05_01" "2148.52976180327" "51591" "135" "0.00260990604338244"
"18" "05_04" "2139.79116360167" "52556" "140" "0.0026567481402763"
"19" "05_07" "2134.3167936518" "53649" "142" "0.00263984681452288"
"20" "05_10" "2126.83360943508" "54447" "141" "0.00258298527148824"
"21" "06_01" "2121.67455068509" "54963" "143" "0.0025949987297209"
"22" "06_04" "2119.81004893116" "55654" "143" "0.00256286180260588"
"23" "06_07" "2113.67145337129" "56737" "141" "0.0024789901192025"
"24" "06_10" "2105.00689783743" "57449" "139" "0.0024136972980482"
"25" "07_01" "2100.12705045681" "57965" "151" "0.00259825177231743"
"26" "07_04" "2094.03470174643" "58524" "159" "0.00270947293083176"
"27" "07_07" "2087.63069645903" "59684" "151" "0.0025236065847748"
"28" "07_10" "2079.61326303456" "59963" "161" "0.00267779921495576"
"29" "08_01" "2073.56577662934" "59892" "170" "0.00283040857780294"
"30" "08_04" "2067.36342390697" "60250" "174" "0.00287965047001192"
"31" "08_07" "2059.17777586559" "60952" "165" "0.00269973984325147"
"32" "08_10" "2050.34326023648" "61893" "176" "0.00283555398024779"
"33" "09_01" "2044.50194493712" "61921" "186" "0.00299483150047499"
"34" "09_04" "2038.42859285779" "61063" "192" "0.00313443800506081"
"35" "09_07" "2031.03938541647" "62688" "199" "0.00316440599806001"
"36" "09_09" "2023.91638110846" "62503" "211" "0.00336448002041012"
"37" "09_11" "2016.46369646912" "56553" "176" "0.0031024696363412"
"38" "10_01" "2014.4916115959" "61731" "210" "0.00339032304935342"
"39" "10_03" "2011.86887150287" "63480" "215" "0.0033754611821964"
"40" "10_05" "2007.00110706807" "63910" "219" "0.00341499165744047"
"41" "10_07" "2001.74703886023" "64189" "224" "0.00347755887786627"
"42" "10_09" "1995.42528594168" "64373" "218" "0.00337508321592792"
"43" "10_11" "1991.60295986852" "64432" "230" "0.00355695771859825"
"44" "11_01" "1986.24437466868" "62805" "228" "0.0036171529198991"
"45" "11_03" "1982.7733691148" "64310" "226" "0.00350192140820627"
"46" "11_05" "1977.59091364186" "64751" "234" "0.003600830960991"
"47" "11_07" "1972.49046218519" "64948" "235" "0.00360523449365632"
"48" "11_09" "1966.50680073585" "65116" "236" "0.00361121312278125"
"49" "11_11" "1961.87053902131" "65280" "236" "0.0036021735148666"
"50" "12_01" "1956.57397109498" "64784" "234" "0.00359900335291765"
