date     avgr          2000-2600  >2600  ratio >2600
01_01    2202.630      36880         98  0.002650224
01_04    2201.726      37525        100  0.002657807
01_07    2200.352      38520        102  0.002640982
01_10    2198.408      39638        101  0.002541584
02_01    2198.512      29193         90  0.003073456
02_04    2195.940      41305        103  0.002487442
02_07    2194.279      40856        101  0.002466001
02_10    2190.613      42119        107  0.002533984
03_01    2186.496      44002        102  0.002312715
03_04    2183.722      44326        107  0.002408120
03_07    2179.196      45100        116  0.002565464
03_10    2173.414      46492        118  0.002531646
04_01    2169.510      47094        120  0.002541619
04_04    2165.596      47997        119  0.002473190
04_07    2160.559      49035        127  0.002583296
04_10    2153.255      50791        131  0.002572562
05_01    2148.530      51591        135  0.002609906
05_04    2139.791      52556        140  0.002656748
05_07    2134.317      53649        142  0.002639847
05_10    2126.834      54447        141  0.002582985
06_01    2121.675      54963        143  0.002594999
06_04    2119.810      55654        143  0.002562862
06_07    2113.671      56737        141  0.002478990
06_10    2105.007      57449        139  0.002413697
07_01    2100.127      57965        151  0.002598252
07_04    2094.035      58524        159  0.002709473
07_07    2087.631      59684        151  0.002523607
07_10    2079.613      59963        161  0.002677799
08_01    2073.566      59892        170  0.002830409
08_04    2067.363      60250        174  0.002879650
08_07    2059.178      60952        165  0.002699740
08_10    2050.343      61893        176  0.002835554
09_01    2044.502      61921        186  0.002994832
09_04    2038.429      61063        192  0.003134438
09_07    2031.039      62688        199  0.003164406
09_09    2023.916      62503        211  0.003364480
09_11    2016.464      56553        176  0.003102470
10_01    2014.492      61731        210  0.003390323
10_03    2011.869      63480        215  0.003375461
10_05    2007.001      63910        219  0.003414992
10_07    2001.747      64189        224  0.003477559
10_09    1995.425      64373        218  0.003375083
10_11    1991.603      64432        230  0.003556958
11_01    1986.244      62805        228  0.003617153
11_03    1982.773      64310        226  0.003501921
11_05    1977.591      64751        234  0.003600831
11_07    1972.490      64948        235  0.003605234
11_09    1966.507      65116        236  0.003611213
11_11    1961.871      65280        236  0.003602174
12_01    1956.574      64784        234  0.003599003
12_03    1952.699      65019        235  0.003601312
12_05    1947.072      65451        235  0.003577627
12_07    1942.195      65863        238  0.003600551
12_08    1939.135      65971        233  0.003519425
12_09    1936.951      66050        232  0.003500196
12_10    1934.564      66112        240  0.003617073
12_11    1933.626      66264        237  0.003563856
12_12    1930.509      66308        244  0.003666306
13_01    1927.166      64116        238  0.003698294
13_02    1925.282      65503        242  0.003680888
13_03    1923.180      65575        243  0.003691999
13_04    1920.408      65721        240  0.003638514
13_05    1917.483      65660        242  0.003672119
13_06    1913.752      65784        241  0.003650133
13_07    1912.307      66196        237  0.003567504
13_08    1909.662      66280        240  0.003607937
13_09    1907.280      66351        241  0.003619053
13_10    1904.281      66412        241  0.003615741
13_11    1901.832      66508        241  0.003610541
13_12    1899.801      66524        246  0.003684289
14_01    1897.511      66651        248  0.003707081
14_02    1893.827      66714        246  0.003673835
14_03    1891.346      66732        247  0.003687723
14_04    1888.590      66995        249  0.003702933
14_05    1884.540      66972        246  0.003659734
14_06    1881.271      66985        247  0.003673846
14_07    1878.162      67011        246  0.003657612
14_08    1873.950      67066        246  0.003654623
14_09    1868.745      67179        250  0.003707604
14_10    1864.618      67287        248  0.003672170
14_11    1859.871      67371        243  0.003593930
14_12    1856.141      67484        247  0.003646779
15_01    1851.428      67569        243  0.003583437
15_02    1847.802      67646        242  0.003564695
15_03    1844.039      67758        243  0.003573477
15_04    1840.741      67852        248  0.003641703
15_05    1835.418      67942        245  0.003593060
15_06    1830.045      67959        249  0.003650598
15_07    1825.860      68052        250  0.003660215
15_08    1821.354      68154        252  0.003683887
15_09    1817.046      68208        251  0.003666428
15_10    1813.659      68266        248  0.003619698
15_11    1810.247      68363        253  0.003687187
15_12    1806.648      68403        255  0.003714061
16_01    1802.118      68448        253  0.003682625
16_02    1797.808      68611        256  0.003717310
